Date & Time,Temp(°C),Salinity(psu),Conduct(mS/cm),Sound Velocity(m/sec)
45390,0.78,28.75,24.85,1444.19
45390.02083,0.78,28.75,24.85,1444.19
45390.04167,0.78,28.68,24.8,1444.09
45390.0625,0.78,28.68,24.8,1444.09
45390.08333,0.78,28.64,24.77,1444.04
45390.10417,0.78,28.64,24.77,1444.04
45390.125,0.78,28.64,24.77,1444.04
45390.14583,0.78,28.64,24.77,1444.04
45390.16667,0.78,28.64,24.77,1444.04
45390.1875,0.78,28.61,24.74,1444
45390.20833,0.78,28.61,24.74,1444
45390.22917,0.74,28.64,24.74,1443.86
45390.25,0.74,28.64,24.74,1443.86
45390.27083,0.78,28.57,24.71,1443.95
45390.29167,0.78,28.54,24.68,1443.9
45390.3125,0.78,28.54,24.68,1443.9
45390.33333,0.78,28.5,24.65,1443.85
45390.35417,0.78,28.5,24.65,1443.85
45390.375,0.78,28.47,24.63,1443.81
45390.39583,0.78,28.5,24.65,1443.85
45390.41667,0.78,28.5,24.65,1443.85
45390.4375,0.78,28.5,24.65,1443.85
45390.45833,0.78,28.47,24.63,1443.81
45390.47917,0.74,28.5,24.63,1443.67
45390.5,0.74,28.5,24.63,1443.67
45390.52083,0.74,28.47,24.6,1443.62
45390.54167,0.7,28.54,24.62,1443.53
45390.5625,0.7,28.5,24.6,1443.49
45390.58333,0.7,28.5,24.6,1443.49
45390.60417,0.66,28.54,24.6,1443.35
45390.625,0.66,28.5,24.57,1443.3
45390.64583,0.62,28.5,24.54,1443.12
45390.66667,0.62,28.5,24.54,1443.12
45390.6875,0.62,28.5,24.54,1443.12
45390.70833,0.62,28.5,24.54,1443.12
45390.72917,0.62,28.5,24.54,1443.12
45390.75,0.62,28.5,24.54,1443.12
45390.77083,0.62,28.54,24.57,1443.17
45390.79167,0.62,28.5,24.54,1443.12
45390.8125,0.62,28.54,24.57,1443.17
45390.83333,0.62,28.54,24.57,1443.17
45390.85417,0.62,28.54,24.57,1443.17
45390.875,0.62,28.5,24.54,1443.12
45390.89583,0.66,28.47,24.54,1443.26
45390.91667,0.66,28.5,24.57,1443.3
45390.9375,0.66,28.5,24.57,1443.3
45390.95833,0.66,28.5,24.57,1443.3
45390.97917,0.66,28.47,24.54,1443.26
45391,0.66,28.47,24.54,1443.26
45391.02083,0.66,28.47,24.54,1443.26
45391.04167,0.66,28.47,24.54,1443.26
45391.0625,0.66,28.47,24.54,1443.26
45391.08333,0.66,28.47,24.54,1443.26
45391.10417,0.62,28.5,24.54,1443.12
45391.125,0.62,28.5,24.54,1443.12
45391.14583,0.62,28.5,24.54,1443.12
45391.16667,0.62,28.5,24.54,1443.12
45391.1875,0.62,28.5,24.54,1443.12
45391.20833,0.62,28.5,24.54,1443.12
45391.22917,0.62,28.5,24.54,1443.12
45391.25,0.62,28.5,24.54,1443.12
45391.27083,0.62,28.5,24.54,1443.12
45391.29167,0.66,28.47,24.54,1443.26
45391.3125,0.66,28.43,24.51,1443.21
45391.33333,0.66,28.47,24.54,1443.26
45391.35417,0.66,28.47,24.54,1443.26
45391.375,0.7,28.43,24.54,1443.39
45391.39583,0.7,28.43,24.54,1443.39
45391.41667,0.7,28.43,24.54,1443.39
45391.4375,0.7,28.47,24.57,1443.44
45391.45833,0.7,28.5,24.6,1443.49
45391.47917,0.74,28.5,24.63,1443.67
45391.5,0.74,28.47,24.6,1443.62
45391.52083,0.74,28.47,24.6,1443.62
45391.54167,0.74,28.47,24.6,1443.62
45391.5625,0.74,28.5,24.63,1443.67
45391.58333,0.74,28.5,24.63,1443.67
45391.60417,0.74,28.5,24.63,1443.67
45391.625,0.78,28.47,24.63,1443.81
45391.64583,0.9,28.46,24.71,1444.35
45391.66667,1.02,28.46,24.8,1444.9
45391.6875,1.02,28.54,24.86,1444.99
45391.70833,1.14,28.54,24.94,1445.53
45391.72917,1.18,28.54,24.97,1445.71
45391.75,1.22,28.5,24.97,1445.84
45391.77083,1.22,28.46,24.94,1445.79
45391.79167,1.18,28.5,24.94,1445.66
45391.8125,1.18,28.46,24.91,1445.62
45391.83333,1.18,28.5,24.94,1445.66
45391.85417,1.18,28.5,24.94,1445.66
45391.875,1.18,28.46,24.91,1445.62
45391.89583,1.18,28.46,24.91,1445.62
45391.91667,1.18,28.46,24.91,1445.62
45391.9375,1.18,28.46,24.91,1445.62
45391.95833,1.18,28.46,24.91,1445.62
45391.97917,1.18,28.46,24.91,1445.62
45392,1.18,28.5,24.94,1445.66
45392.02083,1.18,28.5,24.94,1445.66
45392.04167,1.18,28.46,24.91,1445.62
45392.0625,1.18,28.46,24.91,1445.62
45392.08333,1.18,28.5,24.94,1445.66
45392.10417,1.18,28.5,24.94,1445.66
45392.125,1.18,28.46,24.91,1445.62
45392.14583,1.18,28.46,24.91,1445.62
45392.16667,1.14,28.5,24.91,1445.48
45392.1875,1.14,28.5,24.91,1445.48
45392.20833,1.14,28.5,24.91,1445.48
45392.22917,1.14,28.5,24.91,1445.48
45392.25,1.14,28.46,24.89,1445.44
45392.27083,1.14,28.46,24.89,1445.44
45392.29167,1.14,28.46,24.89,1445.44
45392.3125,1.14,28.46,24.89,1445.44
45392.33333,1.14,28.46,24.89,1445.44
45392.35417,1.14,28.46,24.89,1445.44
45392.375,1.14,28.46,24.89,1445.44
45392.39583,1.14,28.46,24.89,1445.44
45392.41667,1.14,28.46,24.89,1445.44
45392.4375,1.14,28.46,24.89,1445.44
45392.45833,1.14,28.46,24.89,1445.44
45392.47917,1.14,28.46,24.89,1445.44
45392.5,1.14,28.46,24.89,1445.44
45392.52083,1.14,28.46,24.89,1445.44
45392.54167,1.14,28.46,24.89,1445.44
45392.5625,1.14,28.46,24.89,1445.44
45392.58333,1.14,28.46,24.89,1445.44
45392.60417,1.14,28.46,24.89,1445.44
45392.625,1.14,28.46,24.89,1445.44
45392.64583,1.14,28.46,24.89,1445.44
45392.66667,1.14,28.46,24.89,1445.44
45392.6875,1.14,28.46,24.89,1445.44
45392.70833,1.14,28.46,24.89,1445.44
45392.72917,1.14,28.46,24.89,1445.44
45392.75,1.14,28.43,24.86,1445.39
45392.77083,1.14,28.43,24.86,1445.39
45392.79167,1.14,28.46,24.89,1445.44
45392.8125,1.18,28.39,24.86,1445.52
45392.83333,1.14,28.43,24.86,1445.39
45392.85417,1.14,28.43,24.86,1445.39
45392.875,1.18,28.39,24.86,1445.52
45392.89583,1.18,28.39,24.86,1445.52
45392.91667,1.18,28.39,24.86,1445.52
45392.9375,1.18,28.39,24.86,1445.52
45392.95833,1.18,28.39,24.86,1445.52
45392.97917,1.18,28.39,24.86,1445.52
45393,1.18,28.39,24.86,1445.52
45393.02083,1.22,28.39,24.89,1445.7
45393.04167,1.26,28.39,24.92,1445.88
45393.0625,1.26,28.36,24.89,1445.83
45393.08333,1.22,28.39,24.89,1445.7
45393.10417,1.22,28.39,24.89,1445.7
45393.125,1.18,28.43,24.89,1445.57
45393.14583,1.18,28.43,24.89,1445.57
45393.16667,1.14,28.46,24.89,1445.44
45393.1875,1.18,28.43,24.89,1445.57
45393.20833,1.18,28.43,24.89,1445.57
45393.22917,1.18,28.43,24.89,1445.57
45393.25,1.18,28.43,24.89,1445.57
