Recorder,Serial numb,Site (text),Site Depth(m),Surface-Bottom,Log Depth(m),Latitude,Longitude,Year,Month,Day,Date ,Time,Temp(°C),Salinity(psu),Conduct(mS/cm),Sound Velocity(m/sec),
DST CT,S11243,"Mabou, NS",13,B,12,46.09141,61.49111,2022,4,25,2022-04-25,12:00:00 AM,0.48,11.32,10.44,1419.51,
DST CT,S11243,"Mabou, NS",13,B,12,46.09141,61.49111,2022,4,25,2022-04-25,12:30:00 AM,0.48,11.31,10.43,1419.5,
DST CT,S11243,"Mabou, NS",13,B,12,46.09141,61.49111,2022,4,25,2022-04-25,1:00:00 AM,0.48,11.25,10.38,1419.42,
DST CT,S11243,"Mabou, NS",13,B,12,46.09141,61.49111,2022,4,25,2022-04-25,1:30:00 AM,0.39,11.24,10.34,1419.02,
DST CT,S11243,"Mabou, NS",13,B,12,46.09141,61.49111,2022,4,25,2022-04-25,2:00:00 AM,0.35,11.24,10.33,1418.82,
DST CT,S11243,"Mabou, NS",13,B,12,46.09141,61.49111,2022,4,25,2022-04-25,2:30:00 AM,0.23,11.17,10.23,1418.14,
DST CT,S11243,"Mabou, NS",13,B,12,46.09141,61.49111,2022,4,25,2022-04-25,3:00:00 AM,0.15,11.13,10.18,1417.71,
DST CT,S11243,"Mabou, NS",13,B,12,46.09141,61.49111,2022,4,25,2022-04-25,3:30:00 AM,0.15,11.12,10.17,1417.7,
DST CT,S11243,"Mabou, NS",13,B,12,46.09141,61.49111,2022,4,25,2022-04-25,4:00:00 AM,0.15,11.14,10.18,1417.72,
DST CT,S11243,"Mabou, NS",13,B,12,46.09141,61.49111,2022,4,25,2022-04-25,4:30:00 AM,0.15,11.15,10.19,1417.73,
DST CT,S11243,"Mabou, NS",13,B,12,46.09141,61.49111,2022,4,25,2022-04-25,5:00:00 AM,0.15,11.16,10.2,1417.75,
DST CT,S11243,"Mabou, NS",13,B,12,46.09141,61.49111,2022,4,25,2022-04-25,5:30:00 AM,0.19,11.14,10.2,1417.91,
DST CT,S11243,"Mabou, NS",13,B,12,46.09141,61.49111,2022,4,25,2022-04-25,6:00:00 AM,0.19,11.16,10.21,1417.94,
DST CT,S11243,"Mabou, NS",13,B,12,46.09141,61.49111,2022,4,25,2022-04-25,6:30:00 AM,0.27,11.17,10.25,1418.35,
DST CT,S11243,"Mabou, NS",13,B,12,46.09141,61.49111,2022,4,25,2022-04-25,7:00:00 AM,0.35,11.22,10.32,1418.81,
DST CT,S11243,"Mabou, NS",13,B,12,46.09141,61.49111,2022,4,25,2022-04-25,7:30:00 AM,0.39,11.25,10.35,1419.03,
DST CT,S11243,"Mabou, NS",13,B,12,46.09141,61.49111,2022,4,25,2022-04-25,8:00:00 AM,0.48,11.27,10.4,1419.45,
DST CT,S11243,"Mabou, NS",13,B,12,46.09141,61.49111,2022,4,25,2022-04-25,8:30:00 AM,0.52,11.27,10.41,1419.64,
DST CT,S11243,"Mabou, NS",13,B,12,46.09141,61.49111,2022,4,25,2022-04-25,9:00:00 AM,0.52,11.28,10.42,1419.65,
DST CT,S11243,"Mabou, NS",13,B,12,46.09141,61.49111,2022,4,25,2022-04-25,9:30:00 AM,0.56,11.28,10.44,1419.85,
DST CT,S11243,"Mabou, NS",13,B,12,46.09141,61.49111,2022,4,25,2022-04-25,10:00:00 AM,0.56,11.31,10.46,1419.88,
DST CT,S11243,"Mabou, NS",13,B,12,46.09141,61.49111,2022,4,25,2022-04-25,10:30:00 AM,0.56,11.32,10.47,1419.9,
DST CT,S11243,"Mabou, NS",13,B,12,46.09141,61.49111,2022,4,25,2022-04-25,11:00:00 AM,0.6,11.33,10.49,1420.1,
DST CT,S11243,"Mabou, NS",13,B,12,46.09141,61.49111,2022,4,25,2022-04-25,11:30:00 AM,0.64,11.34,10.51,1420.32,
DST CT,S11243,"Mabou, NS",13,B,12,46.09141,61.49111,2022,4,25,2022-04-25,12:00:00 PM,0.68,11.36,10.54,1420.53,
DST CT,S11243,"Mabou, NS",13,B,12,46.09141,61.49111,2022,4,25,2022-04-25,12:30:00 PM,0.72,11.3,10.5,1420.64,
DST CT,S11243,"Mabou, NS",13,B,12,46.09141,61.49111,2022,4,25,2022-04-25,1:00:00 PM,0.92,11.3,10.57,1421.59,
DST CT,S11243,"Mabou, NS",13,B,12,46.09141,61.49111,2022,4,25,2022-04-25,1:30:00 PM,1.04,11.37,10.66,1422.24,
DST CT,S11243,"Mabou, NS",13,B,12,46.09141,61.49111,2022,4,25,2022-04-25,2:00:00 PM,1.04,11.36,10.65,1422.23,
DST CT,S11243,"Mabou, NS",13,B,12,46.09141,61.49111,2022,4,25,2022-04-25,2:30:00 PM,0.84,11.33,10.57,1421.25,
DST CT,S11243,"Mabou, NS",13,B,12,46.09141,61.49111,2022,4,25,2022-04-25,3:00:00 PM,0.8,11.33,10.55,1421.06,
DST CT,S11243,"Mabou, NS",13,B,12,46.09141,61.49111,2022,4,25,2022-04-25,3:30:00 PM,0.8,11.33,10.55,1421.06,
DST CT,S11243,"Mabou, NS",13,B,12,46.09141,61.49111,2022,4,25,2022-04-25,4:00:00 PM,0.8,11.34,10.56,1421.07,
DST CT,S11243,"Mabou, NS",13,B,12,46.09141,61.49111,2022,4,25,2022-04-25,4:30:00 PM,0.76,11.32,10.53,1420.85,
DST CT,S11243,"Mabou, NS",13,B,12,46.09141,61.49111,2022,4,25,2022-04-25,5:00:00 PM,0.76,11.31,10.52,1420.85,
DST CT,S11243,"Mabou, NS",13,B,12,46.09141,61.49111,2022,4,25,2022-04-25,5:30:00 PM,0.76,11.3,10.51,1420.83,
DST CT,S11243,"Mabou, NS",13,B,12,46.09141,61.49111,2022,4,25,2022-04-25,6:00:00 PM,0.8,11.31,10.53,1421.03,
DST CT,S11243,"Mabou, NS",13,B,12,46.09141,61.49111,2022,4,25,2022-04-25,6:30:00 PM,0.84,11.29,10.53,1421.19,
DST CT,S11243,"Mabou, NS",13,B,12,46.09141,61.49111,2022,4,25,2022-04-25,7:00:00 PM,0.84,11.29,10.53,1421.2,
DST CT,S11243,"Mabou, NS",13,B,12,46.09141,61.49111,2022,4,25,2022-04-25,7:30:00 PM,0.88,11.29,10.54,1421.38,
DST CT,S11243,"Mabou, NS",13,B,12,46.09141,61.49111,2022,4,25,2022-04-25,8:00:00 PM,0.88,11.31,10.56,1421.41,
DST CT,S11243,"Mabou, NS",13,B,12,46.09141,61.49111,2022,4,25,2022-04-25,8:30:00 PM,0.92,11.32,10.58,1421.62,
DST CT,S11243,"Mabou, NS",13,B,12,46.09141,61.49111,2022,4,25,2022-04-25,9:00:00 PM,0.96,11.33,10.6,1421.82,
DST CT,S11243,"Mabou, NS",13,B,12,46.09141,61.49111,2022,4,25,2022-04-25,9:30:00 PM,1,11.34,10.62,1422.02,
DST CT,S11243,"Mabou, NS",13,B,12,46.09141,61.49111,2022,4,25,2022-04-25,10:00:00 PM,1.08,11.34,10.65,1422.4,
DST CT,S11243,"Mabou, NS",13,B,12,46.09141,61.49111,2022,4,25,2022-04-25,10:30:00 PM,1.23,11.38,10.73,1423.19,
DST CT,S11243,"Mabou, NS",13,B,12,46.09141,61.49111,2022,4,25,2022-04-25,11:00:00 PM,1.59,11.43,10.89,1424.92,
DST CT,S11243,"Mabou, NS",13,B,12,46.09141,61.49111,2022,4,25,2022-04-25,11:30:00 PM,1.86,11.44,10.99,1426.21,
DST CT,S11243,"Mabou, NS",13,B,12,46.09141,61.49111,2022,4,26,2022-04-26,12:00:00 AM,1.9,11.46,11.02,1426.41,
DST CT,S11243,"Mabou, NS",13,B,12,46.09141,61.49111,2022,4,26,2022-04-26,12:30:00 AM,1.94,11.45,11.02,1426.59,
DST CT,S11243,"Mabou, NS",13,B,12,46.09141,61.49111,2022,4,26,2022-04-26,1:00:00 AM,1.94,11.45,11.03,1426.59,
DST CT,S11243,"Mabou, NS",13,B,12,46.09141,61.49111,2022,4,26,2022-04-26,1:30:00 AM,1.94,11.45,11.03,1426.59,
DST CT,S11243,"Mabou, NS",13,B,12,46.09141,61.49111,2022,4,26,2022-04-26,2:00:00 AM,1.94,11.47,11.04,1426.61,
DST CT,S11243,"Mabou, NS",13,B,12,46.09141,61.49111,2022,4,26,2022-04-26,2:30:00 AM,1.94,11.46,11.03,1426.6,
DST CT,S11243,"Mabou, NS",13,B,12,46.09141,61.49111,2022,4,26,2022-04-26,3:00:00 AM,1.94,11.47,11.04,1426.61,
DST CT,S11243,"Mabou, NS",13,B,12,46.09141,61.49111,2022,4,26,2022-04-26,3:30:00 AM,1.98,11.45,11.04,1426.77,
DST CT,S11243,"Mabou, NS",13,B,12,46.09141,61.49111,2022,4,26,2022-04-26,4:00:00 AM,1.98,11.46,11.05,1426.78,
DST CT,S11243,"Mabou, NS",13,B,12,46.09141,61.49111,2022,4,26,2022-04-26,4:30:00 AM,1.98,11.47,11.05,1426.79,
DST CT,S11243,"Mabou, NS",13,B,12,46.09141,61.49111,2022,4,26,2022-04-26,5:00:00 AM,1.98,11.47,11.05,1426.79,
DST CT,S11243,"Mabou, NS",13,B,12,46.09141,61.49111,2022,4,26,2022-04-26,5:30:00 AM,1.98,11.47,11.06,1426.8,
DST CT,S11243,"Mabou, NS",13,B,12,46.09141,61.49111,2022,4,26,2022-04-26,6:00:00 AM,2.02,11.46,11.06,1426.96,
DST CT,S11243,"Mabou, NS",13,B,12,46.09141,61.49111,2022,4,26,2022-04-26,6:30:00 AM,2.02,11.47,11.06,1426.97,
DST CT,S11243,"Mabou, NS",13,B,12,46.09141,61.49111,2022,4,26,2022-04-26,7:00:00 AM,2.06,11.47,11.07,1427.15,
DST CT,S11243,"Mabou, NS",13,B,12,46.09141,61.49111,2022,4,26,2022-04-26,7:30:00 AM,2.06,11.47,11.08,1427.15,
DST CT,S11243,"Mabou, NS",13,B,12,46.09141,61.49111,2022,4,26,2022-04-26,8:00:00 AM,2.06,11.47,11.08,1427.15,
DST CT,S11243,"Mabou, NS",13,B,12,46.09141,61.49111,2022,4,26,2022-04-26,8:30:00 AM,2.1,11.46,11.08,1427.32,
DST CT,S11243,"Mabou, NS",13,B,12,46.09141,61.49111,2022,4,26,2022-04-26,9:00:00 AM,2.1,11.46,11.09,1427.32,
DST CT,S11243,"Mabou, NS",13,B,12,46.09141,61.49111,2022,4,26,2022-04-26,9:30:00 AM,2.1,11.47,11.09,1427.33,
