Date & Time,Temp(°C),Salinity(psu),Conduct(mS/cm),Sound Velocity(m/sec)
44655,0.14,5.06,4.88,1409.52
44655.02083,0.1,5.1,4.91,1409.38
44655.04167,0.06,5.08,4.88,1409.14
44655.0625,0.02,5.12,4.91,1409
44655.08333,-0.11,5.1,4.88,1408.38
44655.10417,-0.31,5.17,4.91,1407.46
44655.125,-0.52,5.21,4.91,1406.49
44655.14583,-0.56,5.22,4.91,1406.3
44655.16667,-0.39,5.19,4.91,1407.07
44655.1875,-0.23,5.12,4.88,1407.8
44655.20833,-0.02,5.09,4.88,1408.76
44655.22917,0.1,5.07,4.88,1409.33
44655.25,0.18,5.06,4.88,1409.71
44655.27083,0.3,5.04,4.88,1410.27
44655.29167,0.42,5.02,4.88,1410.84
44655.3125,0.58,4.95,4.85,1411.54
44655.33333,0.7,4.94,4.85,1412.09
44655.35417,0.22,5.05,4.88,1409.9
44655.375,-0.02,5.12,4.91,1408.81
44655.39583,-0.07,5.1,4.88,1408.57
44655.41667,-0.15,5.11,4.88,1408.18
44655.4375,-0.23,5.12,4.88,1407.8
44655.45833,-0.15,5.11,4.88,1408.18
44655.47917,-0.07,5.1,4.88,1408.57
44655.5,-0.07,5.1,4.88,1408.57
44655.52083,-0.11,5.1,4.88,1408.38
44655.54167,-0.11,5.1,4.88,1408.38
44655.5625,-0.07,5.1,4.88,1408.57
44655.58333,-0.02,5.12,4.91,1408.81
44655.60417,-0.02,5.12,4.91,1408.81
44655.625,-0.02,5.09,4.88,1408.76
44655.64583,0.02,5.08,4.88,1408.95
44655.66667,0.02,5.08,4.88,1408.95
44655.6875,0.02,5.12,4.91,1409
44655.70833,0.06,5.08,4.88,1409.14
44655.72917,0.06,5.11,4.91,1409.19
44655.75,0.06,5.11,4.91,1409.19
44655.77083,0.06,5.08,4.88,1409.14
44655.79167,0.06,5.11,4.91,1409.19
44655.8125,0.06,5.11,4.91,1409.19
44655.83333,0.06,5.08,4.88,1409.14
44655.85417,0.06,5.11,4.91,1409.19
44655.875,0.06,5.11,4.91,1409.19
44655.89583,0.06,5.11,4.91,1409.19
44655.91667,0.06,5.08,4.88,1409.14
44655.9375,0.02,5.12,4.91,1409
44655.95833,0.02,5.12,4.91,1409
44655.97917,0.02,5.12,4.91,1409
44656,0.02,5.08,4.88,1408.95
44656.02083,0.02,5.08,4.88,1408.95
44656.04167,0.06,5.08,4.88,1409.14
44656.0625,0.06,5.11,4.91,1409.19
44656.08333,0.06,5.08,4.88,1409.14
44656.10417,0.06,5.11,4.91,1409.19
44656.125,0.06,5.11,4.91,1409.19
44656.14583,0.06,5.08,4.88,1409.14
44656.16667,0.02,5.12,4.91,1409
44656.1875,0.02,5.12,4.91,1409
44656.20833,0.02,5.12,4.91,1409
44656.22917,0.02,5.12,4.91,1409
44656.25,0.02,5.12,4.91,1409
44656.27083,0.02,5.12,4.91,1409
44656.29167,0.02,5.12,4.91,1409
44656.3125,0.02,5.12,4.91,1409
44656.33333,0.06,5.08,4.88,1409.14
44656.35417,0.06,5.11,4.91,1409.19
44656.375,0.1,5.1,4.91,1409.38
44656.39583,0.1,5.1,4.91,1409.38
44656.41667,0.1,5.1,4.91,1409.38
44656.4375,0.1,5.1,4.91,1409.38
44656.45833,0.14,5.1,4.91,1409.57
44656.47917,0.14,5.1,4.91,1409.57
44656.5,0.14,5.06,4.88,1409.52
44656.52083,0.14,5.1,4.91,1409.57
44656.54167,0.18,5.02,4.85,1409.66
44656.5625,0.18,5.06,4.88,1409.71
44656.58333,0.22,5.05,4.88,1409.9
44656.60417,0.42,5.02,4.88,1410.84
44656.625,0.42,5.02,4.88,1410.84
44656.64583,0.38,5.02,4.88,1410.65
44656.66667,0.34,5.03,4.88,1410.46
44656.6875,0.26,5.04,4.88,1410.09
44656.70833,0.22,5.05,4.88,1409.9
44656.72917,0.18,5.06,4.88,1409.71
44656.75,0.14,5.1,4.91,1409.57
44656.77083,0.06,5.11,4.91,1409.19
44656.79167,-0.02,5.12,4.91,1408.81
44656.8125,-0.11,5.14,4.91,1408.42
44656.83333,-0.15,5.11,4.88,1408.18
44656.85417,-0.31,5.17,4.91,1407.46
44656.875,-0.56,5.22,4.91,1406.3
44656.89583,-0.77,5.29,4.94,1405.36
44656.91667,-1.06,5.34,4.94,1403.97
44656.9375,-1.35,5.43,4.97,1402.62
44656.95833,-1.56,5.47,4.97,1401.6
44656.97917,-1.69,5.53,5.01,1401.04
44657,-1.69,5.53,5.01,1401.04
44657.02083,-1.78,5.55,5.01,1400.63
44657.04167,-1.99,5.59,5.01,1399.59
44657.0625,-2.21,5.67,5.04,1398.6
44657.08333,-2.21,5.67,5.04,1398.6
44657.10417,-2.29,5.68,5.04,1398.18
44657.125,-2.38,5.7,5.04,1397.75
44657.14583,-2.47,5.72,5.04,1397.33
44657.16667,-2.47,5.72,5.04,1397.33
44657.1875,-2.51,5.73,5.04,1397.12
44657.20833,-2.51,5.73,5.04,1397.12
44657.22917,-2.47,5.72,5.04,1397.33
44657.25,-2.42,5.71,5.04,1397.54
44657.27083,-2.29,5.68,5.04,1398.18
44657.29167,-2.08,5.6,5.01,1399.17
44657.3125,-1.95,5.58,5.01,1399.8
44657.33333,-1.69,5.53,5.01,1401.04
44657.35417,-1.18,5.4,4.97,1403.42
44657.375,-0.72,5.28,4.94,1405.56
44657.39583,-0.39,5.19,4.91,1407.07
44657.41667,-0.11,5.1,4.88,1408.38
44657.4375,0.82,4.92,4.85,1412.65
44657.45833,1.18,4.83,4.82,1414.24
44657.47917,1.1,4.84,4.82,1413.88
44657.5,2.08,4.62,4.75,1418.24
44657.52083,3.08,4.38,4.65,1422.54
44657.54167,2.51,4.53,4.72,1420.09
44657.5625,3.12,4.38,4.65,1422.7
