Date & Time,Temp(°C),Salinity(psu),Conduct(mS/cm),Sound Velocity(m/sec)
44655,-0.01,0,0,1402.02
44655.02083,-0.09,0,0,1401.61
44655.04167,-0.09,0,0,1401.61
44655.0625,-0.09,0,0,1401.61
44655.08333,-0.17,0,0,1401.21
44655.10417,-0.38,0,0,1400.19
44655.125,-0.46,0,0,1399.77
44655.14583,-0.5,0,0,1399.57
44655.16667,-0.42,0,0,1399.98
44655.1875,-0.38,0,0,1400.19
44655.20833,-0.21,0,0,1401
44655.22917,-0.05,0,0,1401.81
44655.25,0.07,0,0,1402.42
44655.27083,0.19,0,0,1403.02
44655.29167,0.32,0,0,1403.62
44655.3125,0.44,0,0,1404.21
44655.33333,0.52,0,0,1404.61
44655.35417,0.03,0,0,1402.22
44655.375,-0.3,0,0,1400.59
44655.39583,-0.46,0,0,1399.77
44655.41667,-0.62,0,0,1398.95
44655.4375,-0.75,0,0,1398.32
44655.45833,-0.79,0,0,1398.11
44655.47917,-0.79,0,0,1398.11
44655.5,-0.83,0,0,1397.91
44655.52083,-0.83,0,0,1397.91
44655.54167,-0.79,0,0,1398.11
44655.5625,-0.75,0,0,1398.32
44655.58333,-0.71,0,0,1398.53
44655.60417,-0.62,0,0,1398.95
44655.625,-0.54,0,0,1399.36
44655.64583,-0.5,0,0,1399.57
44655.66667,-0.5,0,0,1399.57
44655.6875,-0.5,0,0,1399.57
44655.70833,-0.5,0,0,1399.57
44655.72917,-0.5,0,0,1399.57
44655.75,-0.46,0,0,1399.77
44655.77083,-0.46,0,0,1399.77
44655.79167,-0.46,0,0,1399.77
44655.8125,-0.46,0,0,1399.77
44655.83333,-0.42,0,0,1399.98
44655.85417,-0.42,0,0,1399.98
44655.875,-0.46,0,0,1399.77
44655.89583,-0.46,0,0,1399.77
44655.91667,-0.46,0,0,1399.77
44655.9375,-0.5,0,0,1399.57
44655.95833,-0.5,0,0,1399.57
44655.97917,-0.5,0,0,1399.57
44656,-0.54,0,0,1399.36
44656.02083,-0.58,0,0,1399.15
44656.04167,-0.58,0,0,1399.15
44656.0625,-0.62,0,0,1398.95
44656.08333,-0.62,0,0,1398.95
44656.10417,-0.67,0,0,1398.74
44656.125,-0.71,0,0,1398.53
44656.14583,-0.71,0,0,1398.53
44656.16667,-0.75,0,0,1398.32
44656.1875,-0.75,0,0,1398.32
44656.20833,-0.79,0,0,1398.11
44656.22917,-0.79,0,0,1398.11
44656.25,-0.79,0,0,1398.11
44656.27083,-0.83,0,0,1397.91
44656.29167,-0.87,0,0,1397.7
44656.3125,-0.87,0,0,1397.7
44656.33333,-0.83,0,0,1397.91
44656.35417,-0.79,0,0,1398.11
44656.375,-0.79,0,0,1398.11
44656.39583,-0.75,0,0,1398.32
44656.41667,-0.71,0,0,1398.53
44656.4375,-0.67,0,0,1398.74
44656.45833,-0.62,0,0,1398.95
44656.47917,-0.62,0,0,1398.95
44656.5,-0.62,0,0,1398.95
44656.52083,-0.62,0,0,1398.95
44656.54167,-0.58,0,0,1399.15
44656.5625,-0.54,0,0,1399.36
44656.58333,-0.58,0,0,1399.15
44656.60417,-0.58,0,0,1399.15
44656.625,-0.62,0,0,1398.95
44656.64583,-0.58,0,0,1399.15
44656.66667,-0.58,0,0,1399.15
44656.6875,-0.58,0,0,1399.15
44656.70833,-0.62,0,0,1398.95
44656.72917,-0.62,0,0,1398.95
44656.75,-0.67,0,0,1398.74
44656.77083,-0.71,0,0,1398.53
44656.79167,-0.71,0,0,1398.53
44656.8125,-0.75,0,0,1398.32
44656.83333,-0.75,0,0,1398.32
44656.85417,-0.71,0,0,1398.53
44656.875,-0.79,0,0,1398.11
44656.89583,-0.83,0,0,1397.91
44656.91667,-0.87,0,0,1397.7
44656.9375,-0.92,0,0,1397.49
44656.95833,-1,0,0,1397.06
44656.97917,-1.04,0,0,1396.85
44657,-1.21,0,0,1396
44657.02083,-1.33,0,0,1395.36
44657.04167,-1.38,0,0,1395.15
44657.0625,-1.46,0,0,1394.72
44657.08333,-1.67,0,0,1393.63
44657.10417,-1.93,0,0,1392.32
44657.125,-2.14,0,0,1391.21
44657.14583,-2.23,0,0,1390.77
44657.16667,-2.36,0,0,1390.1
44657.1875,-2.44,0,0,1389.65
44657.20833,-2.44,0,0,1389.65
44657.22917,-2.49,0,0,1389.42
44657.25,-2.57,0,0,1388.97
44657.27083,-2.62,0,0,1388.74
44657.29167,-2.62,0,0,1388.74
44657.3125,-2.53,0,0,1389.19
44657.33333,-2.36,0,0,1390.1
44657.35417,-2.18,0,0,1390.99
44657.375,-1.93,0,0,1392.32
44657.39583,-1.63,0,0,1393.85
44657.41667,-1.29,0,0,1395.58
44657.4375,-0.92,0,0,1397.49
44657.45833,-0.54,0,0,1399.36
44657.47917,-0.21,0,0,1401
44657.5,-0.09,0,0,1401.61
44657.52083,-0.05,0,0,1401.81
44657.54167,-0.05,0,0,1401.81
44657.5625,-0.05,0,0,1401.81
44657.58333,-0.05,0,0,1401.81
44657.60417,-0.05,0,0,1401.81
44657.625,-0.01,0,0,1402.02
44657.64583,-0.05,0,0,1401.81
44657.66667,-0.05,0,0,1401.81
44657.6875,-0.05,0,0,1401.81
44657.70833,-0.05,0,0,1401.81
44657.72917,-0.05,0,0,1401.81
