Date & Time,Temp(°C),Salinity(psu),Conduct(mS/cm),Sound Velocity(m/sec)
44655,-0.13,0,0,1401.39
44655.02083,-0.13,0,0,1401.39
44655.04167,-0.13,0,0,1401.39
44655.0625,-0.18,0,0,1401.19
44655.08333,-0.34,0,0,1400.38
44655.10417,-0.54,0,0,1399.35
44655.125,-0.71,0,0,1398.52
44655.14583,-0.71,0,0,1398.52
44655.16667,-0.54,0,0,1399.35
44655.1875,-0.42,0,0,1399.97
44655.20833,-0.18,0,0,1401.19
44655.22917,-0.01,0,0,1402
44655.25,0.11,0,0,1402.6
44655.27083,0.23,0,0,1403.2
44655.29167,0.35,0,0,1403.8
44655.3125,0.51,0,0,1404.59
44655.33333,0.51,0,0,1404.59
44655.35417,0.07,0,0,1402.4
44655.375,-0.18,0,0,1401.19
44655.39583,-0.3,0,0,1400.58
44655.41667,-0.46,0,0,1399.76
44655.4375,-0.59,0,0,1399.14
44655.45833,-0.63,0,0,1398.94
44655.47917,-0.63,0,0,1398.94
44655.5,-0.71,0,0,1398.52
44655.52083,-0.83,0,0,1397.9
44655.54167,-0.83,0,0,1397.9
44655.5625,-0.75,0,0,1398.31
44655.58333,-0.63,0,0,1398.94
44655.60417,-0.5,0,0,1399.56
44655.625,-0.46,0,0,1399.76
44655.64583,-0.5,0,0,1399.56
44655.66667,-0.59,0,0,1399.14
44655.6875,-0.67,0,0,1398.73
44655.70833,-0.71,0,0,1398.52
44655.72917,-0.71,0,0,1398.52
44655.75,-0.75,0,0,1398.31
44655.77083,-0.83,0,0,1397.9
44655.79167,-0.96,0,0,1397.27
44655.8125,-1.08,0,0,1396.64
44655.83333,-1.21,0,0,1396
44655.85417,-1.25,0,0,1395.79
44655.875,-1.29,0,0,1395.57
44655.89583,-1.33,0,0,1395.36
44655.91667,-1.38,0,0,1395.15
44655.9375,-1.33,0,0,1395.36
44655.95833,-1.29,0,0,1395.57
44655.97917,-1.29,0,0,1395.57
44656,-1.25,0,0,1395.79
44656.02083,-1.21,0,0,1396
44656.04167,-1.17,0,0,1396.21
44656.0625,-1.13,0,0,1396.42
44656.08333,-1.08,0,0,1396.64
44656.10417,-1.13,0,0,1396.42
44656.125,-1.13,0,0,1396.42
44656.14583,-1.17,0,0,1396.21
44656.16667,-1.17,0,0,1396.21
44656.1875,-1.17,0,0,1396.21
44656.20833,-1.21,0,0,1396
44656.22917,-1.21,0,0,1396
44656.25,-1.25,0,0,1395.79
44656.27083,-1.29,0,0,1395.57
44656.29167,-1.29,0,0,1395.57
44656.3125,-1.21,0,0,1396
44656.33333,-1.13,0,0,1396.42
44656.35417,-0.96,0,0,1397.27
44656.375,-0.79,0,0,1398.11
44656.39583,-0.63,0,0,1398.94
44656.41667,-0.46,0,0,1399.76
44656.4375,-0.34,0,0,1400.38
44656.45833,-0.18,0,0,1401.19
44656.47917,-0.13,0,0,1401.39
44656.5,-0.09,0,0,1401.6
44656.52083,-0.05,0,0,1401.8
44656.54167,0.03,0,0,1402.2
44656.5625,0.11,0,0,1402.6
44656.58333,0.11,0,0,1402.6
44656.60417,0.11,0,0,1402.6
44656.625,0.31,0,0,1403.6
44656.64583,0.43,0,0,1404.19
44656.66667,0.47,0,0,1404.39
44656.6875,0.23,0,0,1403.2
44656.70833,0.11,0,0,1402.6
44656.72917,0.03,0,0,1402.2
44656.75,-0.01,0,0,1402
44656.77083,-0.09,0,0,1401.6
44656.79167,-0.18,0,0,1401.19
44656.8125,-0.34,0,0,1400.38
44656.83333,-0.63,0,0,1398.94
44656.85417,-0.96,0,0,1397.27
44656.875,-1.17,0,0,1396.21
44656.89583,-1.38,0,0,1395.15
44656.91667,-1.54,0,0,1394.29
44656.9375,-1.71,0,0,1393.42
44656.95833,-1.93,0,0,1392.32
44656.97917,-2.1,0,0,1391.44
44657,-2.23,0,0,1390.78
