Date & Time,Temp(°C),Salinity(psu),Conduct(mS/cm),Sound Velocity(m/sec)
44655,0.03,10.52,9.62,1416.3
44655.02083,0.03,10.52,9.62,1416.3
44655.04167,0.03,10.52,9.62,1416.3
44655.0625,-0.05,10.55,9.62,1415.94
44655.08333,-0.26,10.63,9.63,1415.06
44655.10417,-0.46,10.71,9.64,1414.16
44655.125,-0.55,10.74,9.64,1413.8
44655.14583,-0.42,10.7,9.64,1414.35
44655.16667,-0.26,10.63,9.63,1415.06
44655.1875,-0.18,10.6,9.63,1415.42
44655.20833,0.15,10.48,9.62,1416.83
44655.22917,0.19,10.47,9.62,1417.01
44655.25,0.31,10.41,9.62,1417.52
44655.27083,0.39,10.39,9.62,1417.87
44655.29167,0.51,10.35,9.62,1418.4
44655.3125,0.71,10.27,9.61,1419.25
44655.33333,0.39,10.39,9.62,1417.87
44655.35417,-0.22,10.62,9.63,1415.24
44655.375,-0.5,10.73,9.64,1413.98
44655.39583,-0.59,10.76,9.64,1413.62
44655.41667,-0.75,10.83,9.65,1412.9
44655.4375,-0.88,10.87,9.65,1412.34
44655.45833,-0.84,10.86,9.65,1412.53
44655.47917,-0.79,10.84,9.65,1412.71
44655.5,-0.92,10.89,9.65,1412.16
44655.52083,-1.04,10.94,9.66,1411.62
44655.54167,-1,10.93,9.66,1411.8
44655.5625,-0.88,10.87,9.65,1412.34
44655.58333,-0.75,10.83,9.65,1412.9
44655.60417,-0.59,10.76,9.64,1413.62
44655.625,-0.5,10.73,9.64,1413.98
44655.64583,-0.46,10.71,9.64,1414.16
44655.66667,-0.55,10.74,9.64,1413.8
44655.6875,-0.59,10.76,9.64,1413.62
44655.70833,-0.63,10.77,9.64,1413.43
44655.72917,-0.67,10.79,9.64,1413.25
44655.75,-0.63,10.77,9.64,1413.43
44655.77083,-0.63,10.77,9.64,1413.43
44655.79167,-0.63,10.77,9.64,1413.43
44655.8125,-0.63,10.77,9.64,1413.43
44655.83333,-0.63,10.77,9.64,1413.43
44655.85417,-0.59,10.76,9.64,1413.62
44655.875,-0.59,10.76,9.64,1413.62
44655.89583,-0.55,10.74,9.64,1413.8
44655.91667,-0.55,10.74,9.64,1413.8
44655.9375,-0.5,10.73,9.64,1413.98
44655.95833,-0.5,10.73,9.64,1413.98
44655.97917,-0.46,10.71,9.64,1414.16
44656,-0.42,10.7,9.64,1414.35
44656.02083,-0.42,10.7,9.64,1414.35
44656.04167,-0.38,10.68,9.64,1414.53
44656.0625,-0.34,10.66,9.63,1414.69
44656.08333,-0.34,10.66,9.63,1414.69
44656.10417,-0.34,10.66,9.63,1414.69
44656.125,-0.3,10.65,9.63,1414.88
44656.14583,-0.3,10.65,9.63,1414.88
44656.16667,-0.3,10.65,9.63,1414.88
44656.1875,-0.26,10.63,9.63,1415.06
44656.20833,-0.26,10.63,9.63,1415.06
44656.22917,-0.26,10.63,9.63,1415.06
44656.25,-0.26,10.63,9.63,1415.06
44656.27083,-0.26,10.63,9.63,1415.06
44656.29167,-0.26,10.63,9.63,1415.06
44656.3125,-0.26,10.63,9.63,1415.06
44656.33333,-0.26,10.63,9.63,1415.06
44656.35417,-0.26,10.63,9.63,1415.06
44656.375,-0.26,10.63,9.63,1415.06
44656.39583,-0.26,10.63,9.63,1415.06
44656.41667,-0.22,10.62,9.63,1415.24
44656.4375,-0.22,10.62,9.63,1415.24
44656.45833,-0.22,10.62,9.63,1415.24
44656.47917,-0.22,10.62,9.63,1415.24
44656.5,-0.18,10.6,9.63,1415.42
44656.52083,-0.13,10.58,9.62,1415.58
44656.54167,-0.09,10.57,9.63,1415.77
44656.5625,-0.09,10.57,9.63,1415.77
44656.58333,-0.09,10.57,9.63,1415.77
44656.60417,-0.09,10.57,9.63,1415.77
44656.625,-0.05,10.55,9.62,1415.94
44656.64583,-0.05,10.55,9.62,1415.94
44656.66667,-0.05,10.55,9.62,1415.94
44656.6875,-0.05,10.55,9.62,1415.94
44656.70833,-0.05,10.55,9.62,1415.94
44656.72917,-0.05,10.55,9.62,1415.94
44656.75,-0.05,10.55,9.62,1415.94
44656.77083,-0.05,10.55,9.62,1415.94
44656.79167,-0.05,10.55,9.62,1415.94
44656.8125,-0.05,10.55,9.62,1415.94
44656.83333,-0.05,10.55,9.62,1415.94
44656.85417,-0.05,10.55,9.62,1415.94
44656.875,-0.05,10.55,9.62,1415.94
44656.89583,-0.05,10.55,9.62,1415.94
44656.91667,-0.05,10.55,9.62,1415.94
44656.9375,-0.05,10.55,9.62,1415.94
44656.95833,-0.05,10.55,9.62,1415.94
44656.97917,-0.05,10.55,9.62,1415.94
44657,-0.09,10.57,9.63,1415.77
44657.02083,-0.09,10.57,9.63,1415.77
44657.04167,-0.13,10.59,9.63,1415.6
44657.0625,-0.13,10.59,9.63,1415.6
44657.08333,-0.18,10.6,9.63,1415.42
44657.10417,-0.18,10.6,9.63,1415.42
44657.125,-0.22,10.62,9.63,1415.24
44657.14583,-0.26,10.63,9.63,1415.06
44657.16667,-0.26,10.63,9.63,1415.06
44657.1875,-0.3,10.65,9.63,1414.88
44657.20833,-0.38,10.68,9.64,1414.53
44657.22917,-0.42,10.7,9.64,1414.35
44657.25,-0.5,10.73,9.64,1413.98
44657.27083,-0.55,10.74,9.64,1413.8
44657.29167,-0.59,10.76,9.64,1413.62
44657.3125,-0.59,10.76,9.64,1413.62
44657.33333,-0.63,10.77,9.64,1413.43
44657.35417,-0.63,10.77,9.64,1413.43
44657.375,-0.59,10.76,9.64,1413.62
44657.39583,-0.55,10.74,9.64,1413.8
44657.41667,-0.5,10.73,9.64,1413.98
44657.4375,-0.46,10.71,9.64,1414.16
44657.45833,-0.38,10.68,9.64,1414.53
44657.47917,-0.34,10.65,9.62,1414.68
44657.5,-0.3,10.65,9.63,1414.88
44657.52083,-0.26,10.63,9.63,1415.06
44657.54167,-0.22,10.62,9.63,1415.24
44657.5625,-0.18,10.6,9.63,1415.42
44657.58333,-0.18,10.6,9.63,1415.42
44657.60417,-0.13,10.59,9.63,1415.6
44657.625,-0.13,10.59,9.63,1415.6
44657.64583,-0.09,10.57,9.63,1415.77
44657.66667,-0.09,10.57,9.63,1415.77
44657.6875,-0.09,10.57,9.63,1415.77
44657.70833,-0.09,10.57,9.63,1415.77
44657.72917,-0.09,10.57,9.63,1415.77
44657.75,-0.05,10.55,9.62,1415.94
44657.77083,-0.05,10.55,9.62,1415.94
44657.79167,-0.05,10.55,9.62,1415.94
44657.8125,-0.05,10.55,9.62,1415.94
44657.83333,-0.05,10.55,9.62,1415.94
44657.85417,-0.05,10.55,9.62,1415.94
44657.875,-0.05,10.55,9.62,1415.94
44657.89583,-0.05,10.55,9.62,1415.94
44657.91667,-0.05,10.55,9.62,1415.94
44657.9375,-0.05,10.55,9.62,1415.94
44657.95833,-0.05,10.55,9.62,1415.94
44657.97917,-0.05,10.55,9.62,1415.94
44658,-0.09,10.57,9.63,1415.77
44658.02083,-0.09,10.57,9.63,1415.77
44658.04167,-0.13,10.59,9.63,1415.6
44658.0625,-0.18,10.6,9.63,1415.42
44658.08333,-0.22,10.62,9.63,1415.24
44658.10417,-0.26,10.63,9.63,1415.06
44658.125,-0.34,10.66,9.63,1414.69
44658.14583,-0.42,10.7,9.64,1414.35
44658.16667,-0.5,10.72,9.63,1413.97
44658.1875,-0.55,10.74,9.64,1413.8
