site,year,site.depth.m,surface.bottom,log.depth.m,latitude,longitude
"Alberton, P.E.I.",2014,8,B,8,46.73682,-63.97102
"Alberton, P.E.I.",1996,20,B,20,46.81,-63.9778
"Malpeque, P.E.I.",2015,17,B,16,46.58339,-63.61881
"Alberton, P.E.I.",1996,20,S,2,46.81,-63.9778
"Murray Harbour, P.E.I.",2014,8,B,8,46.05687,-62.45628
"Beach Point, P.E.I.",1996,10,B,10,46.03481,-62.45311
"Cape George, N.S.",2014,17,B,16,45.87619,-61.88717
"Caraquet, N.B.",1996,20,S,2,47.88028,-64.8975
"Cape Tormentine, N.B.",2014,15,B,14,46.10944444,-63.68444444
"Caraquet, N.B.",1996,20,B,20,47.88028,-64.8975
"Caribou, N.S.",1996,20,S,2,45.78694,-62.79472
"Caribou, N.S.",1996,20,B,20,45.78694,-62.79472
"Caribou, N.S.",2014,10,B,9,45.77464,-62.67353
"Cribbons Point, N.S.",1996,20,S,2,45.76917,-61.88733
"Cascumpeque, P.E.I.",2014,12,B,11,46.79563,-63.99395
"Cribbons Point, N.S.",1996,20,B,20,45.76917,-61.88733
"Jacket River, N.B.",1996,20,S,2,48.01861,-66.10694
"Cheticamp, N.S.",2014,20,B,20,46.60778,-61.05906
"Covehead 1, P.E.I.",2014,8,B,8,46.4408,-63.15933
"Jacket River, N.B.",1996,20,B,20,48.01861,-66.10694
"Covehead 2, P.E.I.",2014,13,B,12,46.44839167,-63.13851389
"Pinette, P.E.I.",1996,9,B,9,46.02722,-62.97778
"Egmont Bay, P.E.I.",2014,7,B,7,46.4562,-64.13182
"Pleasant Bay, N.S.",1996,20,B,20,46.83889,-60.80556
"Escuminac, N.B.",2014,11,B,10,47.11917,-64.785
"Pleasant Bay, N.S.",1996,20,S,2,46.83889,-60.80556
"Escuminac, N.B.",2014,11,S,2,47.11917,-64.785
"Pugwash, N.S. (1)",1996,15,S,2,45.93556,-63.57333
"Fortune 1, P.E.I.",2014,9,B,9,46.30027,-62.33727
"Pugwash, N.S. (1)",1996,15,B,15,45.93556,-63.57333
"Fortune 2, P.E.I.",2014,21,B,21,46.30077,-62.30712
"Indian Rocks, P.E.I.",2014,20,B,19,45.91507,-62.8199
"Souris, P.E.I.",1996,20,B,20,46.33583,-62.2475
"Stonehaven, N.B.",1996,20,B,20,47.75753,-65.37725
"Jack Shoal, N.S.",2014,17,B,16,45.72256,-61.54981
"Val Comeau, N.B.",1996,20,S,2,47.4575,-64.79306
"Judique Shoals, N.S.",2014,14,B,13,45.83786,-61.55272
"Val Comeau, N.B.",1996,20,B,20,47.4575,-64.79306
"Caraquet, N.B.",1997,20,B,20,47.89667,-64.85639
"Caraquet, N.B.",1997,20,S,2,47.89667,-64.85639
"Cribbons Point, N.S.",1997,20,S,2,45.76917,-61.88733
"Le Goulet, N.B.",2014,9,B,8,47.70111,-64.65139
"Cribbons Point, N.S.",1997,20,B,20,45.76917,-61.88733
"Mabou Harbour, N.S.",2014,13,B,12,46.09141,-61.49111
"Escuminac, N.B.",1997,20,B,20,47.11917,-64.7181
"Malpeque, P.E.I.",2014,17,B,16,46.58339,-63.61881
"Jacket River, N.B.",1997,20,S,2,48.01861,-66.10694
"Jacket River, N.B.",1997,20,B,20,48.01861,-66.10694
"Kouchibouguac, N.B.",1997,22,B,22,46.8344,-64.7072
"Malpeque, P.E.I.",1997,15,B,15,46.58306,-63.61944
"Malpeque, P.E.I.",2014,17,S,2,46.58339,-63.61881
"Neguac, N.B.",1997,20,B,20,47.16667,-64.83333
"Margaree, N.S.",2014,16,B,16,46.45388,-61.12065
"Pleasant Bay, N.S.",1997,20,B,20,46.83889,-60.80556
"Pinette, P.E.I.",1997,9,B,9,46.02722,-62.97778
"Miscou, N.B.",2014,15,B,14,48.03061,-64.54602
